,Location,Name of Property,No of Baths,No of Beds,No of Guests,No of Reviews,No of bedrooms,Price,Reviews in Text,Stars
274,Orem,AWESOME PRIVATE ROOM!!!,1,3,4,2,1,32,"['Excellent room that is close to UVU. The comfy bed and private bathroom met my needs. Just a 10 minute walk to Utah Valley University. Would recommend to any traveler coming to Orem/Provo.', 'The host canceled this reservation 28 days before arrival. This is an automated posting.']",4.5
275,Orem,Newly Furnished home great location,3,7,10,19,5,175,"['This is a great place to stay!!!', 'Place was adequate', 'The house was beautiful and exactly as described. Nicole and Jared were super responsive and very accommodating. They made our stay really easy. I’ll definitely stay here again the next time I’m in town!', ""Nicole' s place was perfect for our stay! We needed a place big enough to host my family, close enough to where we needed to be and the best value for our buck. This place definitely exceeded our expectations. The area was big enough  to hold my family of 10 adults and 4 children…Read more"", 'It can be hard to locate since there is no house number visible.  Carpets were dirty and the general condition of the house was disappointing.', 'wonderful view from front door. comfortable stay. plenty of room.', 'Great place to stay! Lots of bedrooms and beds available.']",4.5
276,Vineyard,New house with private room! Close to the canyon!,1,1,1,4,0,27,"['Cason was a rockstar!! Would highly recommend!! Beautiful home in a newly developed area and located close to freeway access. Best bang for the buck. ;)', 'Very easy transaction.', 'awesome!', 'Stayed here while driving from Portland to Boulder. Perfect location.']",5
277,Pleasant Grove,West Wing of Pleasant Grove,1,1,2,6,1,36,"['Charming host!', 'This is a fantastic place to stay! I drove down from Washington and the quick responses from Novella were super helpful. The place was gorgeous with an incredible view of the mountains just next door. The house is new and extremely nice. The room feels private and is a nice place…Read more', ""Had a fantastic fantastic stay will come again!!! Very nice bed with private bathroom! They're great people.. thanks so much!!!"", 'A beautiful new home!  Novella and Gene were fantastic hosts. The comfortable room, private bath, laundry and good conversation made for an excellent Airbnb experience.', 'Wonderful, home!! Novella was there to greet me, made me brownies, made me feel like home. Such a safe neighborhood and gorgeous homes. I would stay again!', 'The room was more than I expected, decorated very nicely spotless clean.']",5
278,Provo,Casa de Lucy 2,1,1,2,12,1,25,"['Casa de Lucy was a great stay. There was an issue with Airbnb not blanking out the dates but Lucy luckily had another room available and made that available to me. Lucy was great at communicating and made staying there super easy. If you ever stay in Provo definitely use Casa de …Read more', 'Lucy is the best host! I only wish I could have had the chance to spend more time with her, but she had to do some traveling. Her home is a just a little way off the main roads, but you are in amazing hands if you stay with her! ', 'Lucy was welcoming and has a lovely home. I appreciated the closet and hanger space and there is tons of street parking. Very comfy and clean with a beautiful view of the mountains. Would definitely stay again! ', 'Lucy is a fantastic host and her home is a very comfortable place to stay.', 'Quiet neighborhood.  The keypad entry lock made it nice for coming and going at our leisure.  Parking on the street was easy.  I wish that we had discovered the hiking trail up the mountain before our last day!  Lucy was super accommodating to our request for fridge space.  I enj…Read more', ""Lucy's place was absolutely perfect for what I needed.  She gave clear instructions that made my late check in a breeze despite being exhausted. Her place was wonderfully quiet,  clean,  and comfortable.  It was very easy to get to the freeway. I cannot recommend this spot enough…Read more"", 'Lucy was super nice. The door is kinda a pain It tricked me once but other than the front door her place is very quaint =)', ""Sorry the door was such a pain for you, I assumed my step by step instructions would be enough. Sometimes it's a matter of getting used to a keypad door lock.""]",5
279,Vineyard,Private room! Close to the mountains!,1,1,1,6,1,27,"['Cason is a wonderful host and a great person. I’m glad I stayed here and that we have grown to be great friends through our connection on Airbnb', 'I was lucky to have the chance to stay with Cason. His house was perfect for me throughout my stay in Utah. The house was clean, private, laid back, and worry-free. The house is quiet yet just a short drive away from pretty much anything you need. I would recommend Cason’s place …Read more', 'The house is nice and had everything that was described in the details. I stayed almost 30 days and would stay again if I had the choice to do it over. There are some non-Airbnb roommates but they were quiet and friendly. As a bonus, the neighborhood is more developed from what y…Read more', 'Awesome house! Cason was a great host, including all house mates. Everything comes included at the house. Short drives to nearest shopping centers and restaurants. Would highly recommend staying here!', 'Cason was a great host!', 'Cason was awesome. Very helpful, and willing to give advice and directions. He is an avid hiker and is full of advice on places to explore on days off.  He and his room mates were quiet, clean and respectful, and we often had meals together.  He has a grill out back that I/we use…Read more']",5
280,Provo,City Cabin  - Master Suite (Private room and Bath),1,1,2,14,1,60,"['A welcoming and warm place to stay.', 'Super nice and welcoming, the room was amazing, everything was clean, and the bed was super comfortable. Definitely a place to stay.', 'This house is situated in a beautiful neighborhood with great views all around. The room was beautifully decorated with a super comfortable soft bed and high quality linens. The bathroom is amazing, all newly renovated, modern and sparkling clean. Again, fabulous towels and the b…Read more', 'Awesome clean room, with great bathroom. Close proximity to Provo and easy access to the mountains. Would definitely stay again', 'This room was wonderful and the hosts were great!  The view was amazing and the house is beautiful!  So close to BYU for conferences, meetings etc. You will NOT be disappointed. The deer and wild turkeys just add to the wilderness atmosphere.  We will definitely return.', 'Best place to stay! Host is very helpful. Also view from the suit is beautiful!', 'The house itself is gorgeous, and the entire neighborhood seems very safe and relaxed. The views out to Utah Lake and up to Mount Timpanogos are absolutely amazing--fantastic sunset spot!\n\nTracy was very helpful and gave great directions both for how to get to the house and the c…Read more']",5
281,Orem,A Haven for One or Two,1,1,2,28,1,49,"['Anton and Patricia’s place is super comfortable and clean. The apartment is brand new, spacious, and well lit. Very convenient location.', 'This is a wonderful place to stay, so comfortable and cozy and Anton & Patricia are great hosts. They really made me feel comfortable and welcome.', 'Patricia and Anton are super friendly and genuine. Their basement living space is super clean, and I mean clean clean! All in all, we had an excellent experience.', 'We had the most awesome stay with Anton.  The place is super-clean, stylish, new and well decorated.  It worked for us perfectly.  Anton had the table extension ready, and had nice plates for our Thanksgiving dinner.  Their friendliness was superb.  It could not have been better.', 'Thank you Jerry and Terri for taking such great care of our ""Home Away From Home"" during your stay.  We are happy that we could make an exception in accommodating you, to have your children join you for the Thanksgiving holiday feast!  \r\nWe would be delighted to see you both again upon your return.', 'The hostess are so kind and the place is super clean and cozy.', 'Thank you Cynthia for staying with us!  Happy Thanksgiving!  ', ""I am not normally a person who posts reviews, but my hosts definitely deserve all of the 5 stars and gushing that I'm about to do! Anton and Patricia are wonderful, friendly hosts! I didn't have a car, so they gave me super helpful advice about how to use the Utah Trax and Frontr…Read more"", 'The apartment is beautiful, and bigger than I thought. Very friendly people, and very friendly dogs. Would recommend this place to anyone!']",5
282,Provo,Underground Designer Apartment,1,3,6,26,3,140,"['Beautiful place , we’ll decorate ! The only problem is that is very noisy most of the time !', 'Daniel greeted us and we were amazed by the space! It was decorated to perfection and looks even better in person! We loved having the restaurants and bars so close, and we were in walking distance to the convention center.  The noise was loud at night, but not terribly bothersom…Read more', 'Thank you Summer! Glad you enjoyed yourselves!', 'Super convenient to shops, restaurants and the convention center. Very affordable too! The place was clean and comfortable. We did experience plumbing leaks and but the owners responded quickly!', ""It's worth it."", 'Nice place aside from all of the plumbing leaks.', ""This is a totally great place to stay if you're visiting Provo. The downtown location makes it very convenient for whatever you want to do, the space is very roomy, and it's completely unique and cool!  There were six of us that stayed for four days and we never felt crowded at a…Read more"", 'It was a great trip! Thanks!\nMary']",5
283,Lindon,Zesty's Place,1,1,2,24,1,58,"['Nice neighborhood. The apartment had what we needed. House rules were reasonable. Would stay again.', 'Zesty’s place is beautiful and was wonderful for our stay! Thanks K & M!', ""This was my second stay at K&M's place and I plan to stay again whenever possible!  The space is very warm and cozy - helps me feel at home when away from home.  The hosts are extremely responsive and very helpful when needed."", ""If you want a place where you will feel right at home, look no further. This was my first experience with airbnb and I couldn't have selected a better host. The home was large and spacious with all the amenities to get me through my 10 day business trip. Full kitchen, laundry roo…Read more"", 'Great place, great hosts. This was my first time with air bnb and will always have a high standard to compare it to for any other stays.', 'This place was perfect!  It is in a nice quiet neighborhood that had a beautiful view and everything was just a drive away!', 'The location was incredibly convenient and the apartment was very clean and spacious.  I would definitely recommend this place to anyone looking to stay in the area.']",5
284,Orem,Full Apartment for Families or Business.,2,2,4,0,2,100,[],4.5
285,Vineyard,"Minutes from BYU, Provo Temples, MTC, UVU, Skiing",3,10,16,6,5,253,"['Great place to stay. Everything was as described. Right on golf course and view is amazing, can see the Utah mountains soaring in the background. Dave was awesome and communication was quick when we needed anything.', ""Dave's place is great! It was close to town with amazing mountain views and the house was well kept!"", 'If you have a large group to accommodate this house is SO much better than multiple hotel rooms!  a place to hang out, a place for children to play, plenty of bathrooms, lots of beds, easy access to the freeway, a quick drive into Provo!  I dare you to find a better value!!  :)', 'Amazing place, very good for large group, great location!', 'Excellent accommodation, I love it.', 'I booked this for a church outing and it was PERFECT for what we were looking for. It is spacious and very impressive! Dave was easy to get ahold of and quick to respond with any help I needed. For the price you won’t find a better spot.']",5
286,American Fork,Private Bedroom in American Fork (West Wing),1,1,2,6,1,20,"['From the moment we booked to the moment we checked out they were such great and accommodating hosts! The home was super cozy, cute, clean, and I really liked how private the room was being in the basement! Hosts were very kind and made sure we were comfortable and didn’t need any…Read more', 'Another fabulous stay!  Highly recommend.', 'Such a wonderful stay!  The house was super clean and the hosts were super sweet.  I have already scheduled my next trip.  Highly recommend!!', 'Really nice hosts and accommodations. I’ve made this my go-to in the area.', ""Very nice stay! Would highly recommend. The hosts are very friendly and accommodating. We'll stay again!! Thanks"", ""The home was perfect and immaculate. Graden & Kaylen were so friendly and inviting and truly made us feel like family! We came to the area to to spend time with a friend living nearby who didn't have room for us. We used the Frontrunner train from Salt Lake which was convenient a…Read more""]",5
287,Provo,The Sanctuary- 3 bedroom single family Provo home,1,4,6,3,3,115,"['It was a nice visit.', ""Lani's home was beautiful and perfect. She had all the finishing touches to make it feel like home. The linens and towels were highest quality. The kitchen had absolutely everything we needed. Neighborhood was safe and quiet with an adorable bakery right down the road.\nWe have re…Read more"", 'I am so glad you enjoyed your stay. Thank you for taking such good care of our home. I  look forward to hosting you and your family again.', 'Great.']",4.5
288,Provo,Underground Designer Apartment,1,3,6,26,3,140,"['Beautiful place , we’ll decorate ! The only problem is that is very noisy most of the time !', 'Daniel greeted us and we were amazed by the space! It was decorated to perfection and looks even better in person! We loved having the restaurants and bars so close, and we were in walking distance to the convention center.  The noise was loud at night, but not terribly bothersom…Read more', 'Thank you Summer! Glad you enjoyed yourselves!', 'Super convenient to shops, restaurants and the convention center. Very affordable too! The place was clean and comfortable. We did experience plumbing leaks and but the owners responded quickly!', ""It's worth it."", 'Nice place aside from all of the plumbing leaks.', ""This is a totally great place to stay if you're visiting Provo. The downtown location makes it very convenient for whatever you want to do, the space is very roomy, and it's completely unique and cool!  There were six of us that stayed for four days and we never felt crowded at a…Read more"", 'It was a great trip! Thanks!\nMary']",5
289,Lindon,Zesty's Place,1,1,2,24,1,58,"['Nice neighborhood. The apartment had what we needed. House rules were reasonable. Would stay again.', 'Zesty’s place is beautiful and was wonderful for our stay! Thanks K & M!', ""This was my second stay at K&M's place and I plan to stay again whenever possible!  The space is very warm and cozy - helps me feel at home when away from home.  The hosts are extremely responsive and very helpful when needed."", ""If you want a place where you will feel right at home, look no further. This was my first experience with airbnb and I couldn't have selected a better host. The home was large and spacious with all the amenities to get me through my 10 day business trip. Full kitchen, laundry roo…Read more"", 'Great place, great hosts. This was my first time with air bnb and will always have a high standard to compare it to for any other stays.', 'This place was perfect!  It is in a nice quiet neighborhood that had a beautiful view and everything was just a drive away!', 'The location was incredibly convenient and the apartment was very clean and spacious.  I would definitely recommend this place to anyone looking to stay in the area.']",5
290,Orem,Full Apartment for Families or Business.,2,2,4,0,2,100,[],4.5
291,Vineyard,"Minutes from BYU, Provo Temples, MTC, UVU, Skiing",3,10,16,6,5,253,"['Great place to stay. Everything was as described. Right on golf course and view is amazing, can see the Utah mountains soaring in the background. Dave was awesome and communication was quick when we needed anything.', ""Dave's place is great! It was close to town with amazing mountain views and the house was well kept!"", 'If you have a large group to accommodate this house is SO much better than multiple hotel rooms!  a place to hang out, a place for children to play, plenty of bathrooms, lots of beds, easy access to the freeway, a quick drive into Provo!  I dare you to find a better value!!  :)', 'Amazing place, very good for large group, great location!', 'Excellent accommodation, I love it.', 'I booked this for a church outing and it was PERFECT for what we were looking for. It is spacious and very impressive! Dave was easy to get ahold of and quick to respond with any help I needed. For the price you won’t find a better spot.']",5
292,American Fork,Private Bedroom in American Fork (West Wing),1,1,2,6,1,20,"['From the moment we booked to the moment we checked out they were such great and accommodating hosts! The home was super cozy, cute, clean, and I really liked how private the room was being in the basement! Hosts were very kind and made sure we were comfortable and didn’t need any…Read more', 'Another fabulous stay!  Highly recommend.', 'Such a wonderful stay!  The house was super clean and the hosts were super sweet.  I have already scheduled my next trip.  Highly recommend!!', 'Really nice hosts and accommodations. I’ve made this my go-to in the area.', ""Very nice stay! Would highly recommend. The hosts are very friendly and accommodating. We'll stay again!! Thanks"", ""The home was perfect and immaculate. Graden & Kaylen were so friendly and inviting and truly made us feel like family! We came to the area to to spend time with a friend living nearby who didn't have room for us. We used the Frontrunner train from Salt Lake which was convenient a…Read more""]",5
293,Provo,The Sanctuary- 3 bedroom single family Provo home,1,4,6,3,3,115,"['It was a nice visit.', ""Lani's home was beautiful and perfect. She had all the finishing touches to make it feel like home. The linens and towels were highest quality. The kitchen had absolutely everything we needed. Neighborhood was safe and quiet with an adorable bakery right down the road.\nWe have re…Read more"", 'I am so glad you enjoyed your stay. Thank you for taking such good care of our home. I  look forward to hosting you and your family again.', 'Great.']",4.5
294,Vineyard,New Home Close to BYU and UVU... Golf and Biking!,2.5,9,13,13,5,188,"['Me and my family stayed there. We were 13 people I think. The house is amazing. Very nicely decorated. Gorgeous view to the mountains. Big and very clean. The kitchen is fully equipped. So is everything else. Had a lot of extra blankets and pillows. Had shampoo and conditioner an…Read more', 'Great place!!!', 'The house is amazing. My whole family loved it. We were a big group and it was able to accommodate us really well. If we ever have the same family reunion I will definitely would love to stay there', ""This house is very spacious with lots of room for a large family. It's well appointed with services like a tv in each room and more blankets and sheets than we could ever need. There were extra surprises we didn't expect like an Xbox and DIRECTV on most of the tv's.\n\nWe highly re…Read more"", 'Anne and Mike have a beautiful home with many amenities. The neighborhood is a little hard to get to but it is beautiful and quiet. The kitchen is well stocked with tools. All the bedrooms were spacious and beautifully decorated. If visiting the area I would definitely stay here …Read more', 'Great clean home. Close to SLC and plenty of places to eat/shop/explore. Thank you', 'Fun house. Very beautiful']",5
295,Vineyard,Brand New Private Bedroom and Private Bath,1,1,2,8,1,25,"['Very nice people and a great looking place!', 'this place was amazing all round! Highly recommended!', 'Christopher and Natalie were fantastic! They were so nice and respectful about what I wanted from my stay. Their place was beautiful, comfortable, and very quiet and relaxing. I would definitely go again!', ""My girlfriend Candice came down to Salt Lake where I live for a business meeting while I was out of town and needed a place to stay. I reserved Christopher's place for her. She had a few hold ups and had to arrive very late at night. Christopher was very nice and super accommodat…Read more"", ""So the hosts are pretty much the nicest people in the world. They're extremely accommodating and have a stylish home that is expertly decorated. The room is comfortable with a nice TV that plays Netflix, and the bed is super comfy. Would definitely stay here again!"", 'Amazing place to stay. Impeccably clean and quiet. I highly recommend taking Chris up on his amazing deal.', 'Great place, I highly recommend it!']",5
296,Orem,Beautiful Orem home with breathtaking views!,2.5,4,8,11,3,149,"['Cecilia\'s home is incredibly well situated for a trip to BYU. We were travelling back and forth during a week-long dance competition at the Marriott Event Center, and we couldn\'t have asked for an easier ""commute."" Her hot tub helped us destress after long days of sitting in stad…Read more', 'Beautiful house,. beautiful view. The most comfortable king-sized bed on the planet. Amazing master bathroom. The entire house is tastefully decorated and has a feeling of warmth and comfort. The keypad entry made it possible for us to arrive at 2:00 in the morning and not worry …Read more', 'Clean beautiful home! It had an amazing view, and great hot tub. The Master bed was huge and the bathroom was great also. We had two families here and it was a perfect fit.', 'Super clean. Amazing views. Great host! All around great experience and would recommend 10/10', 'What a great place! The house is beautiful, sparkling clean & comfortable, great amenities and amazing views! We stayed over New Year’s and the view of fireworks over the valley was fantastic!  Cecilia was excellent with communication and very accommodating when we wanted to exte…Read more', 'Excellent place to stay.  Very timely communication.  Great value.  Definitely would stay here again and would recommend to anyone.', ""My husband and I took a road trip up to Utah and stayed at Cecilia's home. We had an outstanding stay! From the easy check-in to the perfect views, we were in heaven throughout our stay! Everything was perfectly clean, and we had absolutely everything that we needed. My favorite …Read more""]",5
297,Pleasant Grove,Pleasant Grove Spacious New Home,2.5,5,8,0,5,99,[],4.5
298,Mapleton,"Nice, comfortable home with large backyard.",2.5,5,10,2,4,179,"['The host canceled this reservation 76 days before arrival. This is an automated posting.', 'This is a comfortable lovely home. Easy  access to Route 15. Quiet neighborhoods with friendly neighbors. Well supplied kitchen. Amazingly landscaped grounds with a trampoline (over a pit) and basketball hoop in the yard. The yard lacked outdoor furniture and the mattresses were …Read more', ""Thank you Linda for your kind feedback. I hope to be able to afford outdoor furniture soon. The master bed has a temper-pedic mattress, which, despite being a very high quality mattress, may not work for everyone. The futon and air matress would probably work best for children. I am sorry that you didn't find the other beds comfortable.\r\nThanks again for booking our home and we look forward to having you stay here again.""]",4.5
299,Lindon,Luxury home with lake view,1.5,5,6,8,3,135,"['Betty was the perfect host!  We stayed at her Air B&B for a little over two months while our house was being finished. Betty was respectful our entire stay and helped us when we needed it but otherwise respected our privacy. The place was the perfect size for the six of us in a b…Read more', 'The home was in an upscale neighborhood and very nicely furnished. The kitchen was well equipped and there was plenty of space. Betty was great with communication and provided everything we needed. ', 'Very nice place and close enough to most locations.  Clean and well kept.  We would stay there again if we visit the Salt Lake area in the future.  ', ""Betty's airbnb is very spacious and perfect for families and friends. It is located in Lindon which is a 10-15 minute drive to Pleasant Grove, Orem, Vineyard. Check in was very easy and Betty responds quickly to texts/msgs. Furnishings are comfortable and the beds were very nice…Read more"", ""It's a large, luxury basement apartment with lots of space to spread out. Very quiet, relaxing and restful. It's nice to have the basic kitchen available so you don't have to eat out all the time.  Airbnb & (Hidden by Airbnb) are my go to's when traveling - I'll keep this one in …Read more"", 'Our stay was during Christmas vacation and decorations, including a well decorated Christmas tree were already in place making it very nice for the family, including our grown children and their families who came to visit and celebrate Christmas there.  We really appreciated this…Read more', 'Betty was there to greet us and show us around. The home was in a wonderful neighborhood and was exactly as described. Very nice place. Comfortable beds and all amenities provided (even laundry detergent!). I especially loved the outdoor seating are. I would stay again for a futu…Read more']",5
300,Orem,New Room near BYU,1,1,2,1,1,33,"['This place is worth the try! It is a beautiful home and the family goes above and beyond. I have stayed in so called ""four star"" hotels not as nice. You have your privacy but help when needed.']",4.5
301,Provo,Comfortable couch,1,1,1,6,1,15,"['Everything was exactly as described. You get what you see!', 'Close to everything I needed. Very convenient.', 'The host canceled this reservation the day before arrival. This is an automated posting.', 'Emmanuel is a very nice guy with warming welcome. His place is really nice to stay in. Sofa was also extremely comfortable. Definitely recommend to stay.', 'Exactly as described. A good place!', 'Emmanuel and his girlfriend are great and hospitable and were accommodating to my late check in time. Very generous host! ']",5
302,Orem,Nice and Quiet Private Bedroom,1.5,1,1,1,1,20,"[""Tanner's place is very comfortable. He is a very friendly host as well. I basically had the run of the whole house. The amenities are top notch and I particularly liked that I could cook in the big kitchen.""]",4.5
303,Highland,Family friendly home away from home,1,3,5,5,2,65,"['Kind folks and plenty of space!', 'This was our first experience with Airbnb and we loved it! There’s no other way. We enjoyed the hospitality and the cozy feel of this home. We would definitely come back!', ""She has a good space. Unfortunately we were so busy with work that we didn't get the time to enjoy the space as we only had time to sleep and shower.  Emily was very accommodating."", 'Emily and Darrin were extremely welcoming which added to the comfortable space they have provided! Easy to communicate with and they honestly went above and beyond to make sure we had a comfortable stay. It’s a great space for families with a great couch and tv to view movies as …Read more', 'Very friendly, has 4 boys and a cat. Got the whole basement to ourselves, including an HD TV with games and channels, toys for kids, 2 bedrooms, private bathrooms, couches, kid friendly for our toddler and baby. They treated us to breakfast.']",5
304,Provo,Spacious 5 bedroom Provo home near BYU & MTC,2.5,11,10,4,5,175,"['Great place for a family to stay, it was homey but still felt comfortable for all. Saved our vacation when Ezra and family made it work for us after our other reservation cancelled on us last minute!', 'The house is spacious, beautiful and clean. We were there for my nieces wedding and it was the perfect place for the bride and groom to get ready and for us to meet our new extended family. Ezra was a gracious host and very willing to accommodate our every need. Even moved beds a…Read more', 'Ezra is very responsive and helpful if there should be any questions or help needed.  The home is spacious, conveniently located, yet private.', 'The house is very nice and clean, Ezra is a great host and he has been really helpful for us. we really enjoyed staying there and if next time travel there, we will come back for sure.']",5
305,Pleasant Grove,1950s Retro Basement Studio w/Kitchenette,1,2,3,18,0,32,"[""Kelli and her husband we lovely people and great hosts. It's a cute little basement apartment with everything we needed!"", 'Darling place! Close to everything! Clean and spacious! Quick response and easy check in', 'Cute little apartment with a beautiful view!', 'The host canceled this reservation 70 days before arrival. This is an automated posting.', 'This space was adorable, very clean, and the perfect space for a very very affordable price! Kelli was so sweet and helpful. I would absolutely stay here again!', 'I have stayed here now on two separate occasions because it is THAT good!! Love the space and amenities!!', 'Very cute place and a pretty view of the mountains :) . As expected and stated by the ad. Kellie was nice and checked us in and we had the suite ourselves with access to the yard which was nice.']",4.5
306,Provo,Underground Designer Apartment,1,3,6,26,3,140,"['Beautiful place , we’ll decorate ! The only problem is that is very noisy most of the time !', 'Daniel greeted us and we were amazed by the space! It was decorated to perfection and looks even better in person! We loved having the restaurants and bars so close, and we were in walking distance to the convention center.  The noise was loud at night, but not terribly bothersom…Read more', 'Thank you Summer! Glad you enjoyed yourselves!', 'Super convenient to shops, restaurants and the convention center. Very affordable too! The place was clean and comfortable. We did experience plumbing leaks and but the owners responded quickly!', ""It's worth it."", 'Nice place aside from all of the plumbing leaks.', ""This is a totally great place to stay if you're visiting Provo. The downtown location makes it very convenient for whatever you want to do, the space is very roomy, and it's completely unique and cool!  There were six of us that stayed for four days and we never felt crowded at a…Read more"", 'It was a great trip! Thanks!\nMary']",5
307,Lindon,Zesty's Place,1,1,2,24,1,58,"['Nice neighborhood. The apartment had what we needed. House rules were reasonable. Would stay again.', 'Zesty’s place is beautiful and was wonderful for our stay! Thanks K & M!', ""This was my second stay at K&M's place and I plan to stay again whenever possible!  The space is very warm and cozy - helps me feel at home when away from home.  The hosts are extremely responsive and very helpful when needed."", ""If you want a place where you will feel right at home, look no further. This was my first experience with airbnb and I couldn't have selected a better host. The home was large and spacious with all the amenities to get me through my 10 day business trip. Full kitchen, laundry roo…Read more"", 'Great place, great hosts. This was my first time with air bnb and will always have a high standard to compare it to for any other stays.', 'This place was perfect!  It is in a nice quiet neighborhood that had a beautiful view and everything was just a drive away!', 'The location was incredibly convenient and the apartment was very clean and spacious.  I would definitely recommend this place to anyone looking to stay in the area.']",5
308,Orem,Full Apartment for Families or Business.,2,2,4,0,2,100,[],4.5
309,Vineyard,"Minutes from BYU, Provo Temples, MTC, UVU, Skiing",3,10,16,6,5,253,"['Great place to stay. Everything was as described. Right on golf course and view is amazing, can see the Utah mountains soaring in the background. Dave was awesome and communication was quick when we needed anything.', ""Dave's place is great! It was close to town with amazing mountain views and the house was well kept!"", 'If you have a large group to accommodate this house is SO much better than multiple hotel rooms!  a place to hang out, a place for children to play, plenty of bathrooms, lots of beds, easy access to the freeway, a quick drive into Provo!  I dare you to find a better value!!  :)', 'Amazing place, very good for large group, great location!', 'Excellent accommodation, I love it.', 'I booked this for a church outing and it was PERFECT for what we were looking for. It is spacious and very impressive! Dave was easy to get ahold of and quick to respond with any help I needed. For the price you won’t find a better spot.']",5
310,American Fork,Private Bedroom in American Fork (West Wing),1,1,2,6,1,20,"['From the moment we booked to the moment we checked out they were such great and accommodating hosts! The home was super cozy, cute, clean, and I really liked how private the room was being in the basement! Hosts were very kind and made sure we were comfortable and didn’t need any…Read more', 'Another fabulous stay!  Highly recommend.', 'Such a wonderful stay!  The house was super clean and the hosts were super sweet.  I have already scheduled my next trip.  Highly recommend!!', 'Really nice hosts and accommodations. I’ve made this my go-to in the area.', ""Very nice stay! Would highly recommend. The hosts are very friendly and accommodating. We'll stay again!! Thanks"", ""The home was perfect and immaculate. Graden & Kaylen were so friendly and inviting and truly made us feel like family! We came to the area to to spend time with a friend living nearby who didn't have room for us. We used the Frontrunner train from Salt Lake which was convenient a…Read more""]",5
311,Provo,The Sanctuary- 3 bedroom single family Provo home,1,4,6,3,3,115,"['It was a nice visit.', ""Lani's home was beautiful and perfect. She had all the finishing touches to make it feel like home. The linens and towels were highest quality. The kitchen had absolutely everything we needed. Neighborhood was safe and quiet with an adorable bakery right down the road.\nWe have re…Read more"", 'I am so glad you enjoyed your stay. Thank you for taking such good care of our home. I  look forward to hosting you and your family again.', 'Great.']",4.5
312,Vineyard,New Home Close to BYU and UVU... Golf and Biking!,2.5,9,13,13,5,188,"['Me and my family stayed there. We were 13 people I think. The house is amazing. Very nicely decorated. Gorgeous view to the mountains. Big and very clean. The kitchen is fully equipped. So is everything else. Had a lot of extra blankets and pillows. Had shampoo and conditioner an…Read more', 'Great place!!!', 'The house is amazing. My whole family loved it. We were a big group and it was able to accommodate us really well. If we ever have the same family reunion I will definitely would love to stay there', ""This house is very spacious with lots of room for a large family. It's well appointed with services like a tv in each room and more blankets and sheets than we could ever need. There were extra surprises we didn't expect like an Xbox and DIRECTV on most of the tv's.\n\nWe highly re…Read more"", 'Anne and Mike have a beautiful home with many amenities. The neighborhood is a little hard to get to but it is beautiful and quiet. The kitchen is well stocked with tools. All the bedrooms were spacious and beautifully decorated. If visiting the area I would definitely stay here …Read more', 'Great clean home. Close to SLC and plenty of places to eat/shop/explore. Thank you', 'Fun house. Very beautiful']",5
313,Vineyard,Brand New Private Bedroom and Private Bath,1,1,2,8,1,25,"['Very nice people and a great looking place!', 'this place was amazing all round! Highly recommended!', 'Christopher and Natalie were fantastic! They were so nice and respectful about what I wanted from my stay. Their place was beautiful, comfortable, and very quiet and relaxing. I would definitely go again!', ""My girlfriend Candice came down to Salt Lake where I live for a business meeting while I was out of town and needed a place to stay. I reserved Christopher's place for her. She had a few hold ups and had to arrive very late at night. Christopher was very nice and super accommodat…Read more"", ""So the hosts are pretty much the nicest people in the world. They're extremely accommodating and have a stylish home that is expertly decorated. The room is comfortable with a nice TV that plays Netflix, and the bed is super comfy. Would definitely stay here again!"", 'Amazing place to stay. Impeccably clean and quiet. I highly recommend taking Chris up on his amazing deal.', 'Great place, I highly recommend it!']",5
314,Orem,Beautiful Orem home with breathtaking views!,2.5,4,8,11,3,149,"['Cecilia\'s home is incredibly well situated for a trip to BYU. We were travelling back and forth during a week-long dance competition at the Marriott Event Center, and we couldn\'t have asked for an easier ""commute."" Her hot tub helped us destress after long days of sitting in stad…Read more', 'Beautiful house,. beautiful view. The most comfortable king-sized bed on the planet. Amazing master bathroom. The entire house is tastefully decorated and has a feeling of warmth and comfort. The keypad entry made it possible for us to arrive at 2:00 in the morning and not worry …Read more', 'Clean beautiful home! It had an amazing view, and great hot tub. The Master bed was huge and the bathroom was great also. We had two families here and it was a perfect fit.', 'Super clean. Amazing views. Great host! All around great experience and would recommend 10/10', 'What a great place! The house is beautiful, sparkling clean & comfortable, great amenities and amazing views! We stayed over New Year’s and the view of fireworks over the valley was fantastic!  Cecilia was excellent with communication and very accommodating when we wanted to exte…Read more', 'Excellent place to stay.  Very timely communication.  Great value.  Definitely would stay here again and would recommend to anyone.', ""My husband and I took a road trip up to Utah and stayed at Cecilia's home. We had an outstanding stay! From the easy check-in to the perfect views, we were in heaven throughout our stay! Everything was perfectly clean, and we had absolutely everything that we needed. My favorite …Read more""]",5
315,Pleasant Grove,Pleasant Grove Spacious New Home,2.5,5,8,0,5,99,[],4.5
